client_id,client_name,property_id,property_title,district,price,structured_score,structured_budget_score,structured_district_score,structured_type_score,structured_bedroom_score,text_score,text_cosine,text_keyword_overlap,text_signal_alignment,shared_text_cues,vision_score,vision_bedroom_alignment,vision_type_alignment,vision_environment_alignment,vision_style_alignment,vision_condition_alignment,fusion_reliability,structured_weight_used,text_weight_used,vision_weight_used,recommendation_reasons,overall_score,recommended_language,explanation,rank
HOUSE-CLIENT-001,Naleli,propmarket-1gpWZhyNaDKwyXXVRS0MZ,3-Bedroom House,Maseru,1000000,0.9789,0.9474,1.0,1.0,1.0,0.2857,0.213,0.4,0.3429,"[""3 bedrooms"", ""maseru"", ""house"", ""maseru""]",0.9175,1.0,1.0,1.0,0.45,1.0,0.9434,0.4787,0.3255,0.1957,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""vision model supports the garden setting""]",0.7412,en,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; vision model supports the garden setting. Fusion score used structured 0.48, text 0.33, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.98, text 0.29, vision 0.92.",1
HOUSE-CLIENT-001,Naleli,propmarket-nc43EhrGALYvCzC6PP0Ay,3-Bedroom House,Maseru,650000,1.0,1.0,1.0,1.0,1.0,0.2249,0.1894,0.3,0.2286,"[""maseru"", ""house"", ""maseru""]",0.8425,0.75,1.0,1.0,0.45,1.0,0.9197,0.4933,0.3138,0.1929,"[""budget is closely aligned"", ""it matches the preferred district"", ""bedroom layout is a strong fit""]",0.7264,en,"Strong house match in Maseru because budget is closely aligned; it matches the preferred district; bedroom layout is a strong fit. Fusion score used structured 0.49, text 0.31, and vision 0.19 weights after confidence rebalancing. Component scores: structured 1.00, text 0.22, vision 0.84.",2
HOUSE-CLIENT-001,Naleli,propmarket-8rZgyZbU6bmT9rIxBpxPt,2-Bedroom House,Maseru,650000,0.9625,1.0,1.0,1.0,0.75,0.201,0.1459,0.3,0.2286,"[""maseru"", ""house"", ""maseru""]",0.8425,0.75,1.0,1.0,0.45,1.0,0.9274,0.489,0.3111,0.1999,"[""budget is closely aligned"", ""it matches the preferred district"", ""vision model supports the suburban setting""]",0.7016,en,"Strong house match in Maseru because budget is closely aligned; it matches the preferred district; vision model supports the suburban setting. Fusion score used structured 0.49, text 0.31, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.96, text 0.20, vision 0.84.",3
HOUSE-CLIENT-002,Teboho,propmarket-xCJ9fuicyQRzWK5mXpAjJ,2-Bedroom House,Berea,385000,1.0,1.0,1.0,1.0,1.0,0.2902,0.1713,0.4,0.48,"[""2 bedrooms"", ""berea"", ""berea"", ""house""]",0.905,1.0,1.0,0.75,0.7,1.0,0.9638,0.4684,0.3235,0.2082,"[""budget is closely aligned"", ""it matches the preferred district"", ""bedroom layout is a strong fit""]",0.7506,st,"Strong house match in Berea because budget is closely aligned; it matches the preferred district; bedroom layout is a strong fit. Fusion score used structured 0.47, text 0.32, and vision 0.21 weights after confidence rebalancing. Component scores: structured 1.00, text 0.29, vision 0.91.",1
HOUSE-CLIENT-002,Teboho,propmarket-Tc6ZRjEuTnPYdBTEdSG6M,2-Bedroom House,Berea,400000,0.9844,0.961,1.0,1.0,1.0,0.2836,0.1592,0.4,0.48,"[""2 bedrooms"", ""berea"", ""berea"", ""house""]",0.905,1.0,1.0,0.75,0.7,1.0,0.9638,0.4684,0.3235,0.2082,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""image analysis suggests good condition""]",0.7412,st,"Strong house match in Berea because it matches the preferred district; bedroom layout is a strong fit; image analysis suggests good condition. Fusion score used structured 0.47, text 0.32, and vision 0.21 weights after confidence rebalancing. Component scores: structured 0.98, text 0.28, vision 0.91.",2
HOUSE-CLIENT-002,Teboho,propmarket-YeJOdv1same7Be9Pfqx6y,2-Bedroom House,Berea,600000,0.9636,0.9091,1.0,1.0,1.0,0.3116,0.2101,0.4,0.48,"[""2 bedrooms"", ""berea"", ""berea"", ""house""]",0.905,1.0,1.0,0.75,0.7,1.0,0.9554,0.4723,0.3262,0.2015,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""image analysis suggests good condition""]",0.7391,st,"Strong house match in Berea because it matches the preferred district; bedroom layout is a strong fit; image analysis suggests good condition. Fusion score used structured 0.47, text 0.33, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.96, text 0.31, vision 0.91.",3
HOUSE-CLIENT-003,Masechaba,propmarket-TGGtwzXu1PaT221Z8WCKM,4-Bedroom House,Maseru,1500000,1.0,1.0,1.0,1.0,1.0,0.2158,0.1106,0.3,0.4,"[""4 bedrooms"", ""maseru"", ""house""]",0.88,1.0,1.0,0.55,1.0,0.7,0.9488,0.4776,0.3102,0.2123,"[""budget is closely aligned"", ""it matches the preferred district"", ""bedroom layout is a strong fit""]",0.7313,en,"Strong house match in Maseru because budget is closely aligned; it matches the preferred district; bedroom layout is a strong fit. Fusion score used structured 0.48, text 0.31, and vision 0.21 weights after confidence rebalancing. Component scores: structured 1.00, text 0.22, vision 0.88.",1
HOUSE-CLIENT-003,Masechaba,propmarket-XvIngChWMiLyNmmUYOK-8,4-Bedroom House,Maseru,1450000,0.9867,0.9667,1.0,1.0,1.0,0.2321,0.1402,0.3,0.4,"[""4 bedrooms"", ""maseru"", ""house""]",0.88,1.0,1.0,0.55,1.0,0.7,0.9488,0.4776,0.3102,0.2123,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""vision model supports the family style""]",0.73,en,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; vision model supports the family style. Fusion score used structured 0.48, text 0.31, and vision 0.21 weights after confidence rebalancing. Component scores: structured 0.99, text 0.23, vision 0.88.",2
HOUSE-CLIENT-003,Masechaba,propmarket-m9QjRcxQJVRg1g2MaiFdv,3-Bedroom House,Maseru,1380000,0.9305,0.92,1.0,1.0,0.75,0.2152,0.1403,0.2,0.44,"[""maseru"", ""house""]",0.97,1.0,1.0,1.0,1.0,0.7,0.9211,0.4935,0.3047,0.2018,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""vision model supports the garden setting""]",0.7205,en,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; vision model supports the garden setting. Fusion score used structured 0.49, text 0.30, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.93, text 0.22, vision 0.97.",3
HOUSE-CLIENT-004,Khotso,propmarket-bH8pKVrhThHrUZ_5URuQ-,3-Bedroom House,Maseru,400000,0.9556,0.8889,1.0,1.0,1.0,0.2171,0.0839,0.3,0.48,"[""3 bedrooms"", ""maseru"", ""house""]",0.875,1.0,1.0,0.75,0.7,0.7,0.9305,0.4865,0.319,0.1946,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""budget is closely aligned""]",0.7044,st,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; budget is closely aligned. Fusion score used structured 0.49, text 0.32, and vision 0.19 weights after confidence rebalancing. Component scores: structured 0.96, text 0.22, vision 0.88.",1
HOUSE-CLIENT-004,Khotso,propmarket-1gpWZhyNaDKwyXXVRS0MZ,3-Bedroom House,Maseru,1000000,0.9556,0.8889,1.0,1.0,1.0,0.2103,0.0714,0.3,0.48,"[""3 bedrooms"", ""maseru"", ""house""]",0.875,1.0,1.0,0.75,0.7,0.7,0.9343,0.4844,0.3176,0.1981,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""budget is closely aligned""]",0.7029,st,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; budget is closely aligned. Fusion score used structured 0.48, text 0.32, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.96, text 0.21, vision 0.88.",2
HOUSE-CLIENT-004,Khotso,propmarket-nc43EhrGALYvCzC6PP0Ay,3-Bedroom House,Maseru,650000,0.9852,0.963,1.0,1.0,1.0,0.1726,0.1065,0.2,0.32,"[""maseru"", ""house""]",0.8,0.75,1.0,0.75,0.7,0.7,0.9102,0.5002,0.3042,0.1956,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""budget is closely aligned""]",0.7018,st,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; budget is closely aligned. Fusion score used structured 0.50, text 0.30, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.99, text 0.17, vision 0.80.",3
HOUSE-CLIENT-005,Lerato,propmarket-ja9gqmVOVSWsiUiMvnC4D,3-Bedroom House,Berea,280000,0.9733,0.9333,1.0,1.0,1.0,0.2297,0.1843,0.3,0.2667,"[""berea"", ""berea"", ""house""]",0.835,0.75,1.0,1.0,0.6,0.7,0.9345,0.4851,0.31,0.2048,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""vision model supports the suburban setting""]",0.7144,en,"Strong house match in Berea because it matches the preferred district; bedroom layout is a strong fit; vision model supports the suburban setting. Fusion score used structured 0.49, text 0.31, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.97, text 0.23, vision 0.83.",1
HOUSE-CLIENT-005,Lerato,propmarket-Y05g7baITID25N3SEnYbU,4-Bedroom House,Berea,550000,0.9225,0.9,1.0,1.0,0.75,0.2209,0.1683,0.3,0.2667,"[""berea"", ""berea"", ""house""]",0.835,0.75,1.0,1.0,0.6,0.7,0.9284,0.4883,0.3121,0.1997,"[""it matches the preferred district"", ""vision model supports the suburban setting"", ""budget is closely aligned""]",0.6861,en,"Strong house match in Berea because it matches the preferred district; vision model supports the suburban setting; budget is closely aligned. Fusion score used structured 0.49, text 0.31, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.92, text 0.22, vision 0.83.",2
HOUSE-CLIENT-005,Lerato,propmarket-C9lcWgLNZxWHPX7Wj8iGv,2-Bedroom House,Berea,550000,0.9225,0.9,1.0,1.0,0.75,0.2193,0.1653,0.3,0.2667,"[""berea"", ""berea"", ""house""]",0.835,0.75,1.0,1.0,0.6,0.7,0.9284,0.4883,0.3121,0.1997,"[""it matches the preferred district"", ""vision model supports the suburban setting"", ""budget is closely aligned""]",0.6856,en,"Strong house match in Berea because it matches the preferred district; vision model supports the suburban setting; budget is closely aligned. Fusion score used structured 0.49, text 0.31, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.92, text 0.22, vision 0.83.",3
HOUSE-CLIENT-006,Palesa,propmarket-2CFUoaCIwCd1l-DFYy5P0,3-Bedroom House,Maseru,2000000,0.9118,0.8732,1.0,1.0,0.75,0.2262,0.081,0.3,0.5333,"[""maseru"", ""house"", ""modern""]",0.95,1.0,1.0,0.75,1.0,1.0,0.9438,0.4793,0.3162,0.2045,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""vision model supports the modern style""]",0.7028,st,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; vision model supports the modern style. Fusion score used structured 0.48, text 0.32, and vision 0.20 weights after confidence rebalancing. Component scores: structured 0.91, text 0.23, vision 0.95.",1
HOUSE-CLIENT-006,Palesa,propmarket-j7OKpdwoVzgjB5YPW6h7t,4-Bedroom House,Maseru,2000000,0.9493,0.8732,1.0,1.0,1.0,0.2001,0.0821,0.3,0.4,"[""4 bedrooms"", ""maseru"", ""house""]",0.8675,1.0,1.0,0.75,0.45,1.0,0.9488,0.4776,0.3102,0.2123,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""image analysis suggests good condition""]",0.6996,st,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; image analysis suggests good condition. Fusion score used structured 0.48, text 0.31, and vision 0.21 weights after confidence rebalancing. Component scores: structured 0.95, text 0.20, vision 0.87.",2
HOUSE-CLIENT-006,Palesa,propmarket-TGGtwzXu1PaT221Z8WCKM,4-Bedroom House,Maseru,1500000,0.938,0.8451,1.0,1.0,1.0,0.1921,0.0675,0.3,0.4,"[""4 bedrooms"", ""maseru"", ""house""]",0.8675,1.0,1.0,0.75,0.45,1.0,0.9488,0.4776,0.3102,0.2123,"[""it matches the preferred district"", ""bedroom layout is a strong fit"", ""image analysis suggests good condition""]",0.6917,st,"Strong house match in Maseru because it matches the preferred district; bedroom layout is a strong fit; image analysis suggests good condition. Fusion score used structured 0.48, text 0.31, and vision 0.21 weights after confidence rebalancing. Component scores: structured 0.94, text 0.19, vision 0.87.",3
